phase_name,phase_idx,step,state,action,action_name,reward,next_state
addiction,1,494,18,5,as7,-1.2,18
addiction,1,495,18,5,as7,-1.2,18
addiction,1,496,18,2,as4,-1.2,18
addiction,1,497,18,2,as4,-1.2,18
addiction,1,498,18,7,ad,-1.2,19
addiction,1,499,19,1,as3,-1.2,19
addiction,1,500,19,1,as3,-1.2,19
addiction,1,501,19,3,as5,-1.2,19
addiction,1,502,19,6,ag,-1.2,19
addiction,1,503,19,4,as6,-1.2,19
addiction,1,504,19,2,as4,-1.2,19
addiction,1,505,19,8,aw,-1.2,20
addiction,1,506,20,0,as2,-1.2,20
addiction,1,507,20,2,as4,-1.2,20
addiction,1,508,20,0,as2,-1.2,20
addiction,1,509,20,7,ad,-1.2,21
addiction,1,510,21,3,as5,-1.2,21
addiction,1,511,21,0,as2,-1.2,21
addiction,1,512,21,7,ad,-1.2,20
addiction,1,513,20,8,aw,-1.2,21
addiction,1,514,21,7,ad,-1.2,20
addiction,1,515,20,6,ag,-1.2,20
addiction,1,516,20,0,as2,-1.2,20
addiction,1,517,20,0,as2,-1.2,20
addiction,1,518,20,0,as2,-1.2,20
addiction,1,519,20,0,as2,-1.2,20
addiction,1,520,20,7,ad,-1.2,21
addiction,1,521,21,5,as7,-1.2,21
addiction,1,522,21,7,ad,0.0,7
addiction,1,523,7,5,as7,-1.2,7
addiction,1,524,7,1,as3,-1.2,7
addiction,1,525,7,2,as4,-1.2,7
addiction,1,526,7,6,ag,-1.2,7
addiction,1,527,7,1,as3,-1.2,7
addiction,1,528,7,2,as4,-1.2,7
addiction,1,529,7,8,aw,-1.2,8
addiction,1,530,8,8,aw,-1.2,9
addiction,1,531,9,7,ad,-1.2,10
addiction,1,532,10,3,as5,-1.2,10
addiction,1,533,10,0,as2,-1.2,10
addiction,1,534,10,0,as2,-1.2,10
addiction,1,535,10,6,ag,-1.2,10
addiction,1,536,10,5,as7,-1.2,10
addiction,1,537,10,5,as7,-1.2,10
addiction,1,538,10,6,ag,-1.2,10
addiction,1,539,10,8,aw,-1.2,9
addiction,1,540,9,0,as2,-1.2,9
addiction,1,541,9,7,ad,-1.2,10
addiction,1,542,10,8,aw,-1.2,11
addiction,1,543,11,8,aw,-1.2,12
addiction,1,544,12,3,as5,-1.2,12
addiction,1,545,12,7,ad,-1.2,13
addiction,1,546,13,8,aw,-1.2,14
addiction,1,547,14,8,aw,-1.2,14
addiction,1,548,14,8,aw,-1.2,14
addiction,1,549,14,8,aw,-4.0,3
addiction,1,550,3,3,as5,0.0,4
addiction,1,551,4,4,as6,0.0,5
addiction,1,552,5,5,as7,0.0,6
addiction,1,553,6,8,aw,0.0,6
addiction,1,554,6,7,ad,10.0,7
addiction,1,555,7,8,aw,-1.2,21
addiction,1,556,21,2,as4,-1.2,21
addiction,1,557,21,8,aw,0.0,7
addiction,1,558,7,8,aw,-1.2,8
addiction,1,559,8,7,ad,0.0,7
addiction,1,560,7,7,ad,-1.2,8
addiction,1,561,8,7,ad,-1.2,9
addiction,1,562,9,8,aw,-1.2,10
addiction,1,563,10,4,as6,-1.2,10
addiction,1,564,10,8,aw,-1.2,11
addiction,1,565,11,7,ad,-1.2,12
addiction,1,566,12,8,aw,-1.2,11
addiction,1,567,11,7,ad,-1.2,10
addiction,1,568,10,8,aw,-1.2,11
addiction,1,569,11,7,ad,-1.2,12
addiction,1,570,12,7,ad,-1.2,13
addiction,1,571,13,6,ag,-1.2,13
addiction,1,572,13,1,as3,-1.2,13
addiction,1,573,13,2,as4,-1.2,13
addiction,1,574,13,8,aw,-1.2,12
addiction,1,575,12,7,ad,-1.2,11
addiction,1,576,11,7,ad,-1.2,12
addiction,1,577,12,8,aw,-1.2,13
addiction,1,578,13,3,as5,-1.2,13
addiction,1,579,13,7,ad,-1.2,12
addiction,1,580,12,8,aw,-1.2,13
addiction,1,581,13,4,as6,-1.2,13
addiction,1,582,13,7,ad,-1.2,14
addiction,1,583,14,8,aw,-4.0,3
addiction,1,584,3,3,as5,0.0,4
addiction,1,585,4,4,as6,0.0,5
addiction,1,586,5,5,as7,0.0,6
addiction,1,587,6,7,ad,10.0,7
addiction,1,588,7,8,aw,-1.2,8
addiction,1,589,8,7,ad,-1.2,9
addiction,1,590,9,7,ad,-1.2,8
addiction,1,591,8,0,as2,-1.2,8
addiction,1,592,8,5,as7,-1.2,8
addiction,1,593,8,7,ad,0.0,7
addiction,1,594,7,5,as7,-1.2,7
addiction,1,595,7,0,as2,-1.2,7
addiction,1,596,7,8,aw,-1.2,8
addiction,1,597,8,7,ad,-1.2,9
addiction,1,598,9,8,aw,-1.2,8
addiction,1,599,8,2,as4,-1.2,8
addiction,1,600,8,0,as2,-1.2,8
addiction,1,601,8,7,ad,-1.2,9
addiction,1,602,9,5,as7,-1.2,9
addiction,1,603,9,7,ad,-1.2,10
addiction,1,604,10,4,as6,-1.2,10
addiction,1,605,10,7,ad,-1.2,11
addiction,1,606,11,8,aw,-1.2,10
addiction,1,607,10,7,ad,-1.2,11
addiction,1,608,11,8,aw,-1.2,12
addiction,1,609,12,0,as2,-1.2,12
addiction,1,610,12,7,ad,-1.2,12
addiction,1,611,12,7,ad,-1.2,11
addiction,1,612,11,8,aw,-1.2,12
addiction,1,613,12,8,aw,-1.2,11
addiction,1,614,11,7,ad,-1.2,12
addiction,1,615,12,3,as5,-1.2,12
addiction,1,616,12,8,aw,-1.2,11
addiction,1,617,11,3,as5,-1.2,11
addiction,1,618,11,8,aw,-1.2,12
addiction,1,619,12,3,as5,-1.2,12
addiction,1,620,12,2,as4,-1.2,12
addiction,1,621,12,7,ad,-1.2,13
addiction,1,622,13,8,aw,-1.2,14
addiction,1,623,14,8,aw,-1.2,14
addiction,1,624,14,2,as4,-1.2,14
addiction,1,625,14,8,aw,-4.0,3
addiction,1,626,3,3,as5,0.0,4
addiction,1,627,4,4,as6,0.0,5
addiction,1,628,5,4,as6,0.0,5
addiction,1,629,5,5,as7,0.0,6
addiction,1,630,6,7,ad,10.0,7
addiction,1,631,7,4,as6,-1.2,7
addiction,1,632,7,8,aw,-1.2,8
addiction,1,633,8,7,ad,-1.2,9
addiction,1,634,9,8,aw,-1.2,10
addiction,1,635,10,8,aw,-1.2,11
addiction,1,636,11,5,as7,-1.2,11
addiction,1,637,11,6,ag,-1.2,11
addiction,1,638,11,7,ad,-1.2,12
addiction,1,639,12,0,as2,-1.2,12
addiction,1,640,12,1,as3,-1.2,12
addiction,1,641,12,8,aw,-1.2,13
addiction,1,642,13,7,ad,-1.2,14
addiction,1,643,14,8,aw,-1.2,14
addiction,1,644,14,8,aw,-1.2,14
addiction,1,645,14,5,as7,-1.2,14
addiction,1,646,14,5,as7,-1.2,14
addiction,1,647,14,3,as5,-1.2,14
addiction,1,648,14,8,aw,-4.0,3
addiction,1,649,3,3,as5,0.0,4
addiction,1,650,4,4,as6,0.0,5
addiction,1,651,5,7,ad,0.0,5
addiction,1,652,5,4,as6,0.0,5
addiction,1,653,5,7,ad,0.0,5
addiction,1,654,5,5,as7,0.0,6
addiction,1,655,6,7,ad,10.0,7
addiction,1,656,7,1,as3,-1.2,7
addiction,1,657,7,8,aw,-1.2,21
addiction,1,658,21,3,as5,-1.2,21
addiction,1,659,21,2,as4,-1.2,21
addiction,1,660,21,7,ad,0.0,7
addiction,1,661,7,8,aw,-1.2,21
addiction,1,662,21,7,ad,0.0,7
addiction,1,663,7,6,ag,-1.2,7
addiction,1,664,7,3,as5,-1.2,7
addiction,1,665,7,8,aw,-1.2,8
addiction,1,666,8,7,ad,-1.2,9
addiction,1,667,9,0,as2,-1.2,9
addiction,1,668,9,2,as4,-1.2,9
addiction,1,669,9,0,as2,-1.2,9
addiction,1,670,9,7,ad,-1.2,10
addiction,1,671,10,8,aw,-1.2,11
addiction,1,672,11,6,ag,-1.2,11
addiction,1,673,11,5,as7,-1.2,11
addiction,1,674,11,1,as3,-1.2,11
addiction,1,675,11,2,as4,-1.2,11
addiction,1,676,11,5,as7,-1.2,11
addiction,1,677,11,5,as7,-1.2,11
addiction,1,678,11,1,as3,-1.2,11
addiction,1,679,11,8,aw,-1.2,10
addiction,1,680,10,7,ad,-1.2,11
addiction,1,681,11,2,as4,-1.2,11
addiction,1,682,11,6,ag,-1.2,11
addiction,1,683,11,8,aw,-1.2,10
addiction,1,684,10,8,aw,-1.2,11
addiction,1,685,11,4,as6,-1.2,11
addiction,1,686,11,4,as6,-1.2,11
addiction,1,687,11,5,as7,-1.2,11
addiction,1,688,11,0,as2,-1.2,11
addiction,1,689,11,5,as7,-1.2,11
addiction,1,690,11,3,as5,-1.2,11
addiction,1,691,11,7,ad,-1.2,12
addiction,1,692,12,4,as6,-1.2,12
